1101,7523182
1102,3546563
1103,832875
1104,686682
1108,404738
1109,341159
1110,572001
1201,506063
1203,240000
1210,894767
1213,56623
1215,294790
1216,5682015
1217,494513
1218,499999
1219,341238
1220,177078
1225,242268
1227,915090
1229,1831880
1231,328300
1232,159975
1233,90592
1234,401871
1235,188578
1236,86674
1240,44232
1256,35781
1259,32390
1260,102098
1264,37052
1268,42224
1269,20882
1271,77089
1293,17094
1294,36626
1295,37600
1301,6365741
1303,7930822
1304,1188764
1305,581050
1307,397818
1308,593744
1309,397587
1310,527870
1312,1506620
1313,1330846
1314,3784850
1315,99099
1316,401646
1319,591477
1321,227228
1323,91275
1324,75122
1325,85281
1326,5861186
1336,77614
1337,268955
1338,83840
1339,74124
1340,152923
1341,52851
1342,78501
1343,40514
1402,5352875
1409,1618409
1410,62000
1413,132112
1414,198000
1416,185342
1417,189942
1418,56834
1419,300041
1423,99648
1432,108000
1434,1684665
1435,139780
1436,194152
1437,201871
1438,111206
1439,92000
1440,1656816
1441,61744
1442,366211
1443,135343
1444,995595
1445,130666
1446,137710
1447,910071
1449,127115
1451,198000
1452,132641
1453,113243
1454,129834
1455,531688
1456,93720
1457,316730
1459,268972
1460,694643
1463,173268
1464,425576
1465,103607
1466,111157
1467,233625
1468,160405
1470,85767
1471,150415
1472,52488
1473,146154
1474,129897
1475,66017
1476,274367
1477,246694
1480,416085
1503,520972
1504,2376441
1506,300389
1512,98183
1513,503113
1514,278571
1515,181474
1516,30008
1517,220000
1519,347469
1521,76230
1522,312898
1524,165310
1525,73400
1526,60000
1527,138571
1528,191331
1529,162850
1530,103108
1531,182108
1532,422604
1533,98547
1535,123743
1536,278960
1537,82063
1538,32300
1539,65370
1540,85474
1541,78800
1558,64536
1560,150289
1563,169206
1565,50417
1568,103087
1569,144247
1570,51501
1580,49339
1582,144269
1583,109400
1584,232471
1586,129500
1587,80056
1589,153136
1590,200000
1591,38048
1593,39785
1594,33220
1595,57555
1597,89262
1598,179142
1599,73029
1603,191688
1604,384200
1605,4431333
1608,632774
1609,785262
1611,322736
1612,316080
1614,269113
1615,198630
1616,194149
1617,169515
1618,192692
1623,66000
1626,149822
1702,294133
1707,148137
1708,249002
1709,477016
1710,885703
1711,547752
1712,420493
1713,150952
1714,991825
1717,1184245
1718,1685906
1720,196566
1721,184884
1722,980000
1723,236904
1725,181830
1726,162000
1727,128020
1730,63234
1731,132915
1732,42444
1733,99950
1734,190197
1735,99388
1736,303395
1737,200000
1742,92671
1752,100988
1760,85739
1762,76918
1773,300000
1776,60107
1777,44592
1780,109075
1781,47408
1783,89698
1784,53121
1785,595951
1786,74828
1788,44521
1789,790739
1795,266738
1796,41460
1799,248776
1802,2908061
1805,134970
1806,390404
1808,714425
1809,167042
1810,302304
1813,46636
1815,585459
1817,72600
1903,260039
1904,1108275
1905,1102835
1906,151000
1907,1660371
1909,1327686
2002,15734861
2006,730214
2007,530652
2008,190852
2009,359622
2010,647655
2012,302163
2013,200000
2014,1435544
2015,581599
2017,446875
2020,267031
2022,337168
2023,1821240
2024,97500
2025,172661
2027,2584261
2028,325715
2029,321180
2030,280526
2031,321146
2032,130522
2033,120000
2034,528996
2035,350000
2038,194134
2049,353792
2059,95297
2061,57378
2062,199994
2063,48101
2064,69330
2065,63517
2066,44450
2067,33858
2069,166387
2070,41783
2071,69046
2072,192000
2073,27500
2101,733935
2102,473329
2103,825710
2104,984734
2105,3241416
2106,954890
2107,303593
2108,492417
2109,279349
2114,77992
2115,104373
2201,1070001
2204,553620
2206,773676
2207,557103
2208,1274539
2211,417091
2221,42325
2227,300000
2228,79780
2230,68030
2231,135932
2233,60289
2235,35878
2236,63131
2237,128886
2239,117713
2241,104602
2243,77374
2245,35640
2247,80711
2248,47600
2249,28160
2250,36388
2252,106618
2254,63908
2255,60932
2256,42524
2258,1751267
2301,2316108
2302,166303
2303,12570094
2305,205661
2308,2597543
2312,1505781
2313,1233821
2314,108596
2316,182741
2317,14075746
2321,16555
2323,980413
2324,4407147
2327,2058731
2328,518346
2329,658948
2330,25932370
2331,557403
2332,602163
2337,1981857
2338,366849
2340,438623
2342,157335
2344,4500000
2345,561118
2347,1667947
2348,159486
2349,693680
2351,193734
2352,1580507
2353,3047854
2354,1414485
2355,397495
2356,3587475
2357,742760
2359,171471
2360,425246
2362,622263
2363,514988
2364,52389
2365,221528
2367,706253
2368,522933
2369,380102
2371,2150835
2373,236203
2374,337992
2375,108675
2376,669889
2377,844856
2379,515513
2380,60000
2382,4107627
2383,358321
2385,765721
2387,195251
2388,555956
2390,192619
2392,512327
2393,443393
2395,869046
2397,114489
2399,178100
2401,591995
2402,307537
2404,190587
2405,343427
2406,350906
2408,3450206
2409,7547099
2412,7757447
2413,127359
